sample.x	sample.y	jsd
E_recovery_d024	A_diarrhea_016	0.903271201137675
F_diarrhea_005	A_diarrhea_016	0.491746207475531
F_diarrhea_007	A_diarrhea_016	0.728155622751448
F_diarrhea_008	A_diarrhea_016	0.769219308118468
F_diarrhea_009	A_diarrhea_016	0.76568904264517
F_diarrhea_010	A_diarrhea_016	0.773402093700626
F_diarrhea_011	A_diarrhea_016	0.785657114425239
F_diarrhea_012	A_diarrhea_016	0.833715046428795
F_diarrhea_015	A_diarrhea_016	0.885837796510825
F_diarrhea_016	A_diarrhea_016	0.844832164390709
F_diarrhea_017	A_diarrhea_016	0.87885202266605
F_diarrhea_018	A_diarrhea_016	0.902266409570724
F_diarrhea_019	A_diarrhea_016	0.891509962843315
F_diarrhea_020	A_diarrhea_016	0.907335992312681
F_diarrhea_021	A_diarrhea_016	0.9000349872955
F_diarrhea_022	A_diarrhea_016	0.87226229508639
F_diarrhea_023	A_diarrhea_016	0.908216018609832
F_diarrhea_025	A_diarrhea_016	0.901326367107138
F_diarrhea_026	A_diarrhea_016	0.908413131614827
F_diarrhea_027	A_diarrhea_016	0.900170224877364
F_diarrhea_028	A_diarrhea_016	0.878638330710535
F_diarrhea_029	A_diarrhea_016	0.889540658088198
F_diarrhea_030	A_diarrhea_016	0.888134081370708
F_diarrhea_031	A_diarrhea_016	0.880589427309721
F_diarrhea_032	A_diarrhea_016	0.856992727284314
F_diarrhea_033	A_diarrhea_016	0.826004176110783
F_diarrhea_034	A_diarrhea_016	0.83314919859457
F_diarrhea_end	A_diarrhea_016	0.814306845917713
F_recovery_d004	A_diarrhea_016	0.791235292327495
F_recovery_d005	A_diarrhea_016	0.757593435857907
F_recovery_d006	A_diarrhea_016	0.760145359053642
F_recovery_d007	A_diarrhea_016	0.758576545380366
F_recovery_d008	A_diarrhea_016	0.757743982021415
F_recovery_d009	A_diarrhea_016	0.872271806932561
F_recovery_d010	A_diarrhea_016	0.817332735821537
F_recovery_d013	A_diarrhea_016	0.805660037494586
F_recovery_d015	A_diarrhea_016	0.797899256271863
F_recovery_d017	A_diarrhea_016	0.837559854868429
F_recovery_d021	A_diarrhea_016	0.818990657732683
F_recovery_d031	A_diarrhea_016	0.823702181841954
F_recovery_d038	A_diarrhea_016	0.795930934346907
F_recovery_d045	A_diarrhea_016	0.80253261752166
F_recovery_d052	A_diarrhea_016	0.795169919812641
F_recovery_d087	A_diarrhea_016	0.832733017777072
G_diarrhea_005	A_diarrhea_016	0.321534825343791
G_diarrhea_009	A_diarrhea_016	0.333639652136476
G_diarrhea_012	A_diarrhea_016	0.332051257382018
G_diarrhea_013	A_diarrhea_016	0.461253192128014
G_diarrhea_014	A_diarrhea_016	0.520316773879351
G_diarrhea_015	A_diarrhea_016	0.579433321351084
G_diarrhea_016	A_diarrhea_016	0.498200472484983
G_diarrhea_017	A_diarrhea_016	0.653907118146706
G_diarrhea_018	A_diarrhea_016	0.707335382979441
G_diarrhea_020	A_diarrhea_016	0.759382262469551
G_diarrhea_021	A_diarrhea_016	0.725190544481371
G_diarrhea_022	A_diarrhea_016	0.807504454808088
