ID,BS1D,BS1S,BS2D,BS2S,BS3D,BS3S,BS4D,BS4S,BS5D,BS5S,BS6D,BS6S,BS7D,BS7D,PS1D,PS1S,PS2D,PS2S,PS3D,PS3S,PS4D,PS4S,PS5D,PS5S,PS6D,PS6S,PS7D,PS7S
COG1032,0.0328837,0.0794022,0.0288735,0.036894,0.0056143,0.0136347,0.0505287,0.038498,0.0336858,0.0280715,0.0136347,0.0216551,0.0288735,0.0288735,0.498211,0.00882247,0.00240613,0.00641634,0.000802043,0.00240613,0.00401021,0.00240613,0.00160409,0.00401021,0.000802043,0.00962451,0.00641634,0.00641634
COG10321,0,0.0675581,0.00422238,0.0211119,0,0.0168895,0.0211119,0.00844476,0.0126671,0.0126671,0,0.00422238,0.00422238,0.00422238,0.00882247,0.0168895,0,0.00844476,0.0126671,0.00422238,0.0253343,0.0211119,0.0168895,0.00844476,0.00422238,0.00422238,0,0.00844476
COG10336,0,0.028481,0,0.00949367,0.00949367,0,0.00949367,0.00949367,0.0189873,0.00949367,0.00949367,0,0.028481,0.028481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10349,0.086649,0.346596,0.173298,0.0742706,0.247569,0.0990274,0.136163,0.23519,0.111406,0.0618921,0.247569,0.123784,0.47038,0.47038,0,0.755084,0.730327,0.581786,0.767463,0.519894,1.06454,0.928382,0.841733,0.358974,0.581786,0.198055,0.779841,0.247569
COG1035,0.184009,0.15115,0.138007,0.0657174,0.0722891,0.026287,0.0985761,0.026287,0.0722891,0.0328587,0.0722891,0.0460022,0.118291,0.118291,0.123784,0.00657174,0,0,0,0.0131435,0.026287,0.0131435,0.026287,0.00657174,0.00657174,0,0.0131435,0.00657174
COG1036,0.0411476,0.0685793,0.0205738,0.0342896,0.00685793,0.0137159,0.0685793,0.0411476,0.0274317,0.00685793,0,0.0137159,0.0205738,0.0205738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137159
COG1038,0.0206061,0.0618183,0.0262259,0.0374656,0.00749313,0.0112397,0.0693114,0.0168595,0.0243527,0.0149863,0.0206061,0.00936641,0.0430855,0.0430855,0,0,0,0.00187328,0,0,0.00374656,0,0,0,0.00187328,0.00187328,0.00187328,0.00749313
COG10387,0,0.116248,0.0290621,0.014531,0.014531,0.014531,0,0.014531,0.014531,0,0.0290621,0,0,0,0,0.363276,0.116248,0.0435931,0.0290621,0.101717,0.0581242,0.014531,0.014531,0.0435931,0.0435931,0,0.101717,0.014531
COG1039,0.103452,0.171769,0.0624616,0.0995482,0.0312308,0.0409904,0.156154,0.0702693,0.119067,0.0566058,0.0800289,0.0605097,0.0897885,0.0897885,0,0.0136635,0.00390385,0.00585577,0,0.00390385,0.0175673,0.00975962,0.00390385,0.00390385,0,0.00585577,0.00975962,0.0117115
COG1040,0.144606,0.24101,0.0692904,0.108454,0.0331389,0.0662777,0.168707,0.123518,0.0602525,0.0753156,0.0542272,0.0783282,0.0632651,0.0632651,0.0136635,0.00602525,0.0180757,0.00602525,0.00602525,0.0120505,0.024101,0.0210884,0.0150631,0.0210884,0.00903787,0.0210884,0.0331389,0.0180757
